symbol,row_count,missing_values,zero_volume_days,price_anomalies,status
BIMAS.IS,1505,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",6.0,0.0,PASS
MGROS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SOKM.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
FROTO.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
TOASO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ASUZU.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ARCLK.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
VESBE.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ENJSA.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ASTOR.IS,888,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
SASA.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",124.0,0.0,PASS
HEKTS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,1.0,WARNING
TKFEN.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
ENKAI.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TCELL.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TTKOM.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
KOZAL.IS,0,,,,MISSING
KOZAA.IS,0,,,,MISSING
AEFES.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
CCOLA.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,1.0,WARNING
TRGYO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
EKGYO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
AKCNS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
OYAKC.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
MNDRS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
MAVI.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
LOGO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
MIATK.IS,1182,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
DOAS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TAVHL.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
DOCO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
KONTR.IS,1455,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",6.0,0.0,PASS
YEOTK.IS,1243,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",9.0,0.0,PASS
ALARK.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
DOHOL.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TURSG.IS,1506,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",8.0,0.0,PASS
